id,objek,nama,letak,kecamatan,kabupaten,kode_pos,potensi,image_url
65,Pantai,Pantai Oro,Wee Pangali,Loura,Sumba Barat,,,https://i.imgur.com/D8QeTfq.jpeg
66,Pantai,Pantai Mandorak,Kalenarongo,Kodi Utara,Sumba Barat,,,https://i.imgur.com/42y5BkO.jpeg
67,Pantai,Pantai Ratenggaro,Umbu Ngedo,Kodi Bangedo,Sumba Barat,,,https://i.imgur.com/InMLQ0H.jpeg
68,Pantai,Pantai Tanjung Karoso,Kalenarongo,Kodi Utara,Sumba Barat,,,https://i.imgur.com/Gp5yNlM.jpeg
69,Pantai,Pantai Waikelo,Rada Mata,Loura,Sumba Barat,,,https://i.imgur.com/O3NkvP0.jpeg
70,Pantai,Pantai Rada Kapal,,Kodi Bangedo,Sumba Barat Daya,,,https://i.imgur.com/5KPM0g8.jpeg
71,Pantai,Pantai Kawona,,Tambolaka,Sumba Barat Daya,,,https://i.imgur.com/LK9PV8Q.jpeg
72,Pantai,Pantai Maloba,Anakalang,Katikuna,Sumba Tengah,,,https://i.imgur.com/OdWuKfI.jpeg
73,Pantai,Pantai Londa Lima,Kuta,Haharu,Sumba Timur,,,https://i.imgur.com/iqkxK0w.jpeg
74,Pantai,Pantai Puru Kambera,Hamba Praing,Haharu,Sumba Timur,,,https://i.imgur.com/CVRl7eW.jpeg
75,Pantai,Pantai Kalala,Hadakamali,Wula Waijelu,Sumba Timur,,,https://i.imgur.com/eYUmUDx.jpeg
76,Pantai,Pantai Watu Parunu,Latjanji,Pahunga Lodu,Sumba Timur,,,https://i.imgur.com/MiKM7Pc.jpeg
77,Pantai,Pantai Waihungu,Pramadita,Karera,Sumba Timur,,,https://i.imgur.com/pa3JyNG.jpeg
78,Pantai,Pantai Katundu,Pramadita,Karera,Sumba Timur,,,https://i.imgur.com/6zuCzic.jpeg
79,Pantai,Pantai Tarimbang,Tabundung,Tabundung,Sumba Timur,,,https://i.imgur.com/7z0xfoT.jpeg
80,Pantai,Pantai Walakiri,Watumbaka,Pandawai,Sumba Timur,,,https://i.imgur.com/fmPYkLh.jpeg
81,Pantai,Pantai Tawui,Tawui,Pinu Pahar,Sumba Timur,,,https://i.imgur.com/yQVSdRN.jpeg
82,Pantai,Pantai Kolbano,Kolbano,Kolbano,Timor Tengah Selatan,,Pantai pasir putih,https://i.imgur.com/vQViVJq.jpeg
83,Pantai,Pantai Banli,Op,Nunkolo,Timor Tengah Selatan,,,https://i.imgur.com/zd7tC2Q.jpeg
84,Pantai,Pantai Oetune,Tufanu,Kualin,Timor Tengah Selatan,,Pantai pasir putih,https://i.imgur.com/DaFN2Ei.jpeg
85,Pantai,Pantai Ob,Op,Nunkolo,Timor Tengah Selatan,,,https://i.imgur.com/GqGauhG.jpeg
86,Pantai,Pantai Nunkolo,Op,Nunkolo,Timor Tengah Selatan,,Panorama alam pantai,https://i.imgur.com/3eaxMDc.jpeg
87,Pantai,Pantai Nualunat,Nualunat,Kot'olin,Timor Tengah Selatan,,,https://i.imgur.com/hn19cFq.jpeg
88,Pantai,Pantai Wini,Humusu,Insana Utara,Timor Tengah Utara,,,https://i.imgur.com/itcBeNd.jpeg
89,Pulau,"Pulau Kepa, Bao Raja, Pantai Makassar",Desa Alor Kecil,ABAL,Alor,,"Arus laut dingin yang terjadi 2 s/d 3 kali dalam setahun, taman laut selat pantar, alam pantai, bahari, adat dan budaya",https://i.imgur.com/9YR0xht.jpeg
90,Pulau,Pulau Konga,,Titehena,Flores Timur,,,https://i.imgur.com/sqvrED8.jpeg
91,Pulau,Pulau Tikus,Sulamu,Sulamu,Kabupaten Kupang,,Rekreasi dan Mancing,https://i.imgur.com/EjRs2DS.jpeg
92,Pulau,Pulau Manifon,Sonraen,Amarasi,Kabupaten Kupang,,Perlindungan satwa,https://i.imgur.com/d2Yy4Tf.jpeg
93,Pulau,Pulau Mules,Desa Nuca Molas,Satar Mese Barat,Manggarai,,"Pulau kecil dengan padang rumput yang luas, di dalamnya terdapat rusa liar dan panorama yg indah.",https://i.imgur.com/B8vgYYU.jpeg
94,Pulau,Pulau Bidadari,Pulau Bidadari,,Manggarai Barat,,"Pasir Putih, Taman Laut, Sunbathing, Swimming, Diving, Snorkeling",https://i.imgur.com/gWIOp2f.jpeg
95,Pulau,Pulau Ular,Batu Cermin,,Manggarai Barat,,"Pasir Putih, Taman Laut, Snorkeling",https://i.imgur.com/45ptST1.jpeg 
96,Pulau,Pulau Burung,Batu Cermin,,Manggarai Barat,,"Pasir Putih, Snorkeling",https://imgur.com/a/jntV0kc
97,Pulau,Pulau Kanawa,Ds. Pasir Putih,,Manggarai Barat,,"Pasir Putih & Taman Laut, Diving &
Snorkelling",https://i.imgur.com/9brImiG.jpeg
98,Pulau,Pulau Satonda,Ds. Pasir Putih,,Manggarai Barat,,"Pasir Putih & Taman Laut, Diving &
Snorkelling",https://i.imgur.com/sczabcz.jpeg
99,Pulau,Pulau Longos,Ponti Anak,,Manggarai Barat,,"Taman Laut, Diving &
Snorkelling",https://i.imgur.com/5DDGT1H.jpeg
100,Gunung,Gunung Api Sirung,Mauta,Pantar Barat,Alor,,"Gunung api aktif, hiking (mendaki)",https://i.imgur.com/5QLeu5v.jpeg
101,Gunung,Gunung Meja,Rukun Lima,Ende selatan,Ende,,,https://i.imgur.com/kmWZALc.jpeg
102,Gunung,Gunung Ia,Paupanda,Ende selatan,Ende,,,https://i.imgur.com/QPqdMUV.jpeg
103,Gunung,Gunung Wongge,Onekore,Ende Tengah,Ende,,,https://i.imgur.com/3hMYWWq.jpeg
104,Gunung,Gunung Padhambewu,Mbotutenda,Nangapanda,Ende,,,https://i.imgur.com/7pnpAES.jpeg
105,Gunung,Wologai,Wologai,Detusoko,Ende,,,https://i.imgur.com/uX7MEgH.jpeg
106,Gunung,Gunung Timau,Timau,Amfoang Utara,Kabupaten Kupang,,"Wisata gunung, mendaki",https://i.imgur.com/WCVpkb0.jpeg
107,Gunung,Gunung fatuleu,Nonsaen,Fatuleu Tengah,Kabupaten Kupang,,Pegunungan dengan padang hijau,https://i.imgur.com/2eb0juo.jpeg
108,Gunung,Gunung Api Hobal,,,Lembata,,,https://i.imgur.com/3RcU3wy.png
109,Gunung,Gunung Api Ile Lewotolok,,,Lembata,,,https://i.imgur.com/J8SHr66.jpeg
110,Gunung,Golo Curu,"Golo Curu, Kelurahan Karot",Langke Rembong,Manggarai,,Bukit indah di utara kota Ruteng Tempat Patung Bunda Maria di tahtakan.,https://i.imgur.com/fgxtq9G.jpeg
111,Gunung,Lodok Lingko Cara,"Persawahan Cara, Kelurahan Wae Belang",Ruteng,Manggarai,,Bentuk khas pembagian tanah/kebun komunal di Manggarai yang berbentuk sarang laba?laba,https://i.imgur.com/QuXg8K7.jpeg
112,Gunung,Puncak Ranaka,"Poco Ranaka, Desa Ranaka",Wae Ri?i,Manggarai,,"Gunung tertinggi di NTT (2400 m), terdapat Salib,˜˜ memiliki panorama alam yang indah.",https://i.imgur.com/cFfUx67.jpeg
113,Gunung,Waerebo,Satar Lenda,Satar Mese Barat,Manggarai,,,https://i.imgur.com/DJ3WPOn.jpeg
114,Gunung,Puncak Waringin,Labuan Bajo,Puncak Waringin,Manggarai Barat,,Puncak Waringin,https://i.imgur.com/BwJ3Fe7.jpeg
115,Gunung,Golo Mori,Golo Mori,Golo Mori,Manggarai Barat,,Golo Mori,https://i.imgur.com/sfdJ1zj.jpeg
116,Gunung,Puncak Mbeliling,Liang Dara,Mbeliling,Manggarai Barat,,Puncak Mbeliling,https://i.imgur.com/OtHh4Ox.jpeg
117,Gunung,Gunung Ebulobo,Desa Mulokoli,Boa Wae,Nagekeo,,Panorama Alam,https://i.imgur.com/AAUuIBH.jpeg
118,Gunung,Gunung Mutis,Nenas,Fatumnasi,Timur Tengah Selatan,,"Panorama alam pegunungan, Pendakian gunung",https://i.imgur.com/I2b6QoH.jpeg
119,Bukit,Bukit Lewalu Tas,,Lamaknen,Belu,,,https://i.imgur.com/0UIedQw.jpeg
120,Bukit,Bukit Tulilu Nu Berek,,Tasifeto Barat,Belu,,,https://i.imgur.com/Bk0Hyv5.jpeg
121,Bukit,Bukit Nanaet,,Nanaet Dubesi,Belu,,,https://i.imgur.com/poYfjhr.jpeg
122,Bukit,Bukit Dubesi,,Nanaet Dubesi,Belu,,,https://i.imgur.com/h9GrzWV.jpeg
123,Bukit,Bukit Lidak,,Atambua Barat,Belu,,,https://i.imgur.com/IICzifA.jpeg
124,Bukit,Bukit Raimaten,,Atambua Barat,Belu,,,https://i.imgur.com/GZGkwTx.jpeg
125,Bukit,Bukit Cinta,,,Malaka,,,https://i.imgur.com/r5JprD1.jpeg
126,Bukit,Bukit Warinding,Pambota Jara,Komodo,Sumba Timur,,Scenic Beauty,https://i.imgur.com/zwSQuPJ.jpeg
127,Bukit,Bukit Rowet,Kel. Lape,,Nagekeo,,Melihat Matahari Terbenam,https://i.imgur.com/j6remjd.jpeg
128,Danau,Danau 7 Bidadari,Bota,ABAL,Alor,,"Air danau dipergunakan oleh masyarakat sekitar untuk mandi, air minum, mencuci namun airnya tetap jernih dan bersih, tidak boleh mengambil gambar ditempat tersebut.",https://i.imgur.com/SaTChDq.jpeg
129,Danau,Danau Tiga Warna Kelimutu,Pemo,Kelimutu,Ende,,,https://i.imgur.com/WerPcqR.jpeg
130,Danau,Danau Tiwu Sora,Hangalande,Kotabaru,Ende,,,https://i.imgur.com/c4Ty6bB.jpeg
131,Danau,Danau Ranombata,Mautenda,Wewaria,Ende,,,https://i.imgur.com/rr7IXdb.jpeg
132,Danau,Danau Asmara,Waibao,Tanjung Bunga,Flores Timur,,,https://i.imgur.com/Ll22BtS.jpeg
133,Danau,Danau Rana Mese,Golo Loni,Rana Mese,Manggarai Timur,,,https://i.imgur.com/NnQJyOH.jpeg
134,Danau,Danau Kota Kaya,Adonara,Adonara,Flores Timur,,,https://i.imgur.com/yzoVw36.jpeg
135,Danau,Danau Nefona,Sillu,Fatuleu,Kabupaten Kupang,,"Panorama
Alam, Peninggalan sejarah",https://i.imgur.com/DvOGZ5N.jpeg
136,Danau,Danau Nefoko'u,Apren,Amarasi,Kabupaten Kupang,,Panorama Alam,https://i.imgur.com/RZgjCcO.jpeg
137,Danau,Danau Nanebot,Nanebot,Rinhart,Malaka,,,https://i.imgur.com/P7ALWD3.jpeg
